Note: 


Addr	Number	Disass
400fb8	1	sub rsp, 0x8
400fbc	1	call 0x401cf4
400fc1	1	call 0x401d80
400fc6	1	call 0x406940
400fcb	1	add rsp, 0x8
400fcf	1	ret 
400fd0	13	push qword ptr [rip+0x226032]
400fd6	13	jmp qword ptr [rip+0x226034]
400ff0	36	jmp qword ptr [rip+0x22602a]
400ff6	1	push 0x1
400ffb	1	jmp 0x400fd0
401030	1	jmp qword ptr [rip+0x22600a]
401036	1	push 0x5
40103b	1	jmp 0x400fd0
401070	65535	jmp qword ptr [rip+0x225fea]
401076	1	push 0x9
40107b	1	jmp 0x400fd0
401080	1	jmp qword ptr [rip+0x225fe2]
401086	1	push 0xa
40108b	1	jmp 0x400fd0
4010e0	1	jmp qword ptr [rip+0x225fb2]
4010e6	1	push 0x10
4010eb	1	jmp 0x400fd0
4010f0	2	jmp qword ptr [rip+0x225faa]
4010f6	1	push 0x11
4010fb	1	jmp 0x400fd0
401110	1	jmp qword ptr [rip+0x225f9a]
401116	1	push 0x13
40111b	1	jmp 0x400fd0
401130	1	jmp qword ptr [rip+0x225f8a]
401136	1	push 0x15
40113b	1	jmp 0x400fd0
401180	1	jmp qword ptr [rip+0x225f62]
401186	1	push 0x1a
40118b	1	jmp 0x400fd0
401190	34	jmp qword ptr [rip+0x225f5a]
401196	1	push 0x1b
40119b	1	jmp 0x400fd0
4011d0	1	jmp qword ptr [rip+0x225f3a]
4011d6	1	push 0x1f
4011db	1	jmp 0x400fd0
4011f0	1	jmp qword ptr [rip+0x225f2a]
4011f6	1	push 0x21
4011fb	1	jmp 0x400fd0
401240	33	jmp qword ptr [rip+0x225f02]
401246	1	push 0x26
40124b	1	jmp 0x400fd0
401290	1	push r14
401292	1	push r13
401294	1	push r12
401296	1	push rbp
401297	1	mov rbp, rsi
40129a	1	push rbx
40129b	1	mov ebx, edi
40129d	1	mov edi, 0x1
4012a2	1	sub rsp, 0x10
4012a6	1	mov dword ptr [rip+0x23c4b0], 0x1
4012b0	1	mov dword ptr [rip+0x23c506], 0x0
4012ba	1	mov qword ptr [rip+0x23c503], 0xffffffffffffffff
4012c5	1	mov dword ptr [rip+0x23c4e1], 0x0
4012cf	1	mov dword ptr [rip+0x23c44f], 0x0
4012d9	1	mov dword ptr [rip+0x23c429], 0x0
4012e3	1	mov word ptr [rip+0x23c41c], 0x539
4012ec	1	mov dword ptr [rip+0x23c482], 0x0
4012f6	1	mov dword ptr [rip+0x23c430], 0x0
401300	1	mov dword ptr [rip+0x23c4c6], 0x0
40130a	1	mov qword ptr [rip+0x23c4c3], 0x0
401315	1	mov dword ptr [rip+0x23c431], 0x0
40131f	1	mov qword ptr [rip+0x23c42e], 0x0
40132a	1	mov dword ptr [rip+0x23c4cc], 0x0
401334	1	mov dword ptr [rip+0x23c4a2], 0x0
40133e	1	mov qword ptr [rip+0x23c437], 0x0
401349	1	mov qword ptr [rip+0x23c43c], 0x40698c
401354	1	mov qword ptr [rip+0x23c3b9], 0x406992
40135f	1	mov qword ptr [rip+0x23c396], 0x406998
40136a	1	mov qword ptr [rip+0x23c3d3], 0x40699e
401375	1	mov qword ptr [rip+0x23c408], 0x4069a4
401380	1	call 0x401030
401385	1	test eax, eax
401387	1	jnz 0x4013c0
401389	1	mov qword ptr [rip+0x23c3fc], 0x416f71
401394	1	mov qword ptr [rip+0x23c361], 0x416f71
40139f	1	mov qword ptr [rip+0x23c39e], 0x416f71
4013aa	1	mov qword ptr [rip+0x23c363], 0x416f71
4013b5	1	mov qword ptr [rip+0x23c3c8], 0x416f71
4013c0	1	mov r12d, 0x5
4013c6	1	nop word ptr [rax+rax*1], ax
4013d0	1	lea r8, ptr [rsp+0xc]
4013d5	1	mov ecx, 0x6271a0
4013da	1	mov edx, 0x416f71
4013df	1	mov rsi, rbp
4013e2	1	mov edi, ebx
4013e4	1	mov dword ptr [rsp+0xc], 0x0
4013ec	1	call 0x401130
4013f1	1	cmp eax, 0xffffffff
4013f4	1	jz 0x401602
401602	1	cmp dword ptr [rip+0x23c0e7], 0x0
401609	1	jnz 0x401808
40160f	1	cmp dword ptr [rip+0x23c0de], 0x0
401616	1	jnz 0x401865
40161c	1	mov edx, dword ptr [rip+0x23c0a6]
401622	1	cmp edx, ebx
401624	1	jz 0x401a56
40162a	1	sub ebx, 0x1
40162d	1	cmp edx, ebx
40162f	1	jl 0x4016da
401635	1	cmp dword ptr [rip+0x23c0d0], 0x0
40163c	1	jz 0x40164b
40164b	1	mov eax, dword ptr [rip+0x23c0d7]
401651	1	add eax, dword ptr [rip+0x23c159]
401657	1	add eax, dword ptr [rip+0x23c11b]
40165d	1	sub eax, 0x1
401660	1	jle 0x40188d
401691	1	add rsp, 0x10
401695	1	mov eax, ebx
401697	1	pop rbx
401698	1	pop rbp
401699	1	pop r12
40169b	1	pop r13
40169d	1	pop r14
40188d	1	movsxd rdx, edx
401890	1	mov ebx, 0x1
401895	1	mov rdi, qword ptr [rbp+rdx*8]
40189a	1	call 0x403af0
40189f	1	test rax, rax
4018a2	1	mov qword ptr [rip+0x23be67], rax
4018a9	1	jz 0x401691
4018af	1	cmp dword ptr [rip+0x23bec2], 0x0
4018b6	1	jz 0x401998
401998	1	mov rdi, qword ptr [rip+0x23bd71]
40199f	1	call 0x402720
4019a4	1	mov rax, qword ptr [rip+0x23bd65]
4019ab	1	cmp qword ptr [rax+0x68], 0x0
4019b0	1	jz 0x401a09
4019b2	1	mov rdi, qword ptr [rip+0x23bd1f]
4019b9	1	mov edx, 0x406e80
4019be	1	mov esi, 0x1
4019c3	1	xor eax, eax
4019c5	1	call 0x401240
4019ca	1	mov rax, qword ptr [rip+0x23bd3f]
4019d1	1	mov rbx, qword ptr [rax+0x68]
4019d5	1	jmp 0x401a04
4019d7	1	mov r8, qword ptr [rbx]
4019da	1	mov r9, qword ptr [rip+0x23bda7]
4019e1	1	mov edx, 0x406b1f
4019e6	1	mov rcx, qword ptr [rip+0x23bd5b]
4019ed	1	mov rdi, qword ptr [rip+0x23bce4]
4019f4	1	mov esi, 0x1
4019f9	1	xor eax, eax
4019fb	1	call 0x401240
401a00	1	mov rbx, qword ptr [rbx+0x8]
401a04	2	test rbx, rbx
401a07	2	jnz 0x4019d7
401a09	1	cmp dword ptr [rip+0x23bce8], 0x0
401a10	1	jnz 0x401a43
401a12	1	cmp dword ptr [rip+0x23bd97], 0x0
401a19	1	jnz 0x401a43
401a1b	1	cmp dword ptr [rip+0x23bd06], 0x0
401a22	1	jnz 0x401a43
401a24	1	cmp dword ptr [rip+0x23bda5], 0x0
401a2b	1	jnz 0x401a43
401a2d	1	cmp dword ptr [rip+0x23bd1c], 0x0
401a34	1	jnz 0x401a43
401a36	1	cmp dword ptr [rip+0x23bd3b], 0x0
401a3d	1	jz 0x401c20
401a43	1	mov rdi, qword ptr [rip+0x23bcc6]
401a4a	1	xor ebx, ebx
401a4c	1	call 0x403a30
401a51	1	jmp 0x401691
401c20	1	mov rcx, qword ptr [rip+0x23bb21]
401c27	1	mov rdi, qword ptr [rip+0x23baaa]
401c2e	1	mov edx, 0x406b2b
401c33	1	mov esi, 0x1
401c38	1	xor eax, eax
401c3a	1	call 0x401240
401c3f	1	mov rcx, qword ptr [rip+0x23bb42]
401c46	1	mov rdi, qword ptr [rip+0x23ba8b]
401c4d	1	mov edx, 0x406ed0
401c52	1	xor eax, eax
401c54	1	mov esi, 0x1
401c59	1	call 0x401240
401c5e	1	mov rax, qword ptr [rip+0x23baab]
401c65	1	mov edx, dword ptr [rax+0xc]
401c68	1	test edx, edx
401c6a	1	jnz 0x401c9d
401c9d	1	sub edx, 0x1
401ca0	1	jnz 0x401c72
401ca2	1	cmp dword ptr [rax+0x14], 0x0
401ca6	1	jnz 0x401c72
401ca8	1	mov edi, 0x8
401cad	1	call 0x405940
401cb2	1	jmp 0x401a43
401cc8	1	xor ebp, ebp
401cca	1	mov r9, rdx
401ccd	1	pop rsi
401cce	1	mov rdx, rsp
401cd1	1	and rsp, 0xfffffffffffffff0
401cd5	1	push rax
401cd6	1	push rsp
401cd7	1	mov r8, 0x406930
401cde	1	mov rcx, 0x4068a0
401ce5	1	mov rdi, 0x401290
401cec	1	call 0x401110
401cf4	1	sub rsp, 0x8
401cf8	1	mov rax, qword ptr [rip+0x2252f9]
401cff	1	test rax, rax
401d02	1	jz 0x401d06
401d06	1	add rsp, 0x8
401d0a	1	ret 
401d80	1	cmp qword ptr [rip+0x2250c8], 0x0
401d88	1	push rbp
401d89	1	mov rbp, rsp
401d8c	1	jz 0x401da0
401da0	1	pop rbp
401da1	1	ret 
402310	1	push r15
402312	1	mov r15, rcx
402315	1	push r14
402317	1	push r13
402319	1	push r12
40231b	1	push rbp
40231c	1	push rbx
40231d	1	sub rsp, 0x58
